School,Treatment,Population,Individual,StartDate,StartDOY,ThirdDate,ThirdDOY,ThirdMass,FifthDate,FifthDOY,FifthMass,PupaDate,PupaDOY,PupaMass,AdultDate,AdultDOY,Sex,Death,Outcome,Survival,Notes
VCU,WIB,AL,1,5/3/19,123,6/9/19,160,0.0173,7/2/19,183,0.3428,7/30/19,211,0.6780,,,MP,9/30/19,N,P,did not emerge
VCU,WIB,AL,2,5/3/19,123,6/2/19,153,0.0402,6/18/19,169,0.2982,7/26/19,207,1.6669,8/28/19,240,F,,L,A,
VCU,WIB,AL,3,5/3/19,123,6/3/19,154,0.0181,6/24/19,175,0.1284,,,,,,U,9/30/19,N,F,
VCU,WIB,AL,4,5/3/19,123,6/2/19,153,0.0312,6/24/19,175,0.2568,7/25/19,206,0.5242,8/25/19,237,M,,L,A,
VCU,WIB,AL,5,5/3/19,123,6/1/19,152,0.0238,6/24/19,175,0.2650,7/24/19,205,0.6917,8/27/19,239,M,,L,A,
VCU,WIB,AL,6,5/3/19,123,6/1/19,152,0.0248,6/19/19,170,0.2373,7/29/19,210,2.2778,8/28/19,240,F,,L,A,
VCU,WIB,AL,7,5/3/19,123,6/8/19,159,0.0167,6/30/19,181,0.2007,8/5/19,217,0.3486,,,MP,9/30/19,N,P,did not emerge
VCU,WIB,AL,8,5/3/19,123,5/28/19,148,0.0272,6/14/19,165,0.2915,8/4/19,216,1.7695,9/1/19,244,F,,L,A,
VCU,WIB,AL,9,5/3/19,123,5/31/19,151,0.0320,6/20/19,171,0.2892,7/23/19,204,0.4638,,,MP,9/30/19,N,P,did not emerge
VCU,WIB,AL,10,5/3/19,123,5/31/19,151,0.0301,6/18/19,169,0.2874,8/1/19,213,2.0149,,,FP,9/30/19,N,P,did not emerge
VCU,WIB,AL,11,5/3/19,123,5/30/19,150,0.0326,6/19/19,170,0.2770,7/16/19,197,0.6308,,,MP,9/30/19,N,P,did not emerge
VCU,WIB,AL,12,5/3/19,123,5/31/19,151,0.0349,,,,,,,,,U,6/27/19,N,T,no death notes
VCU,WIB,AL,13,5/3/19,123,6/4/19,155,0.0204,6/24/19,175,0.2401,7/20/19,201,0.4909,,,MP,9/30/19,N,P,did not emerge
VCU,WIB,AL,14,5/3/19,123,6/1/19,152,0.0268,6/21/19,172,0.2841,7/16/19,197,0.5497,,,MP,9/30/19,N,P,did not emerge
VCU,WIB,AL,15,5/3/19,123,5/30/19,150,0.0209,6/19/19,170,0.1464,8/19/19,231,1.3798,,,FP,9/30/19,N,P,did not emerge
VCU,WIB,AL,16,5/3/19,123,6/5/19,156,0.0199,6/24/19,175,0.2521,7/20/19,201,0.5808,,,MP,9/30/19,N,P,did not emerge
VCU,WIB,AL,17,5/3/19,123,6/2/19,153,0.0266,6/20/19,171,0.2449,,,,,,U,7/15/19,N,F,slime
VCU,WIB,AL,18,5/3/19,123,6/7/19,158,0.0272,6/21/19,172,0.1152,7/30/19,211,0.6189,,,M,9/11/19,L,A,was not able to successfully emerge
VCU,WIB,AL,19,5/3/19,123,5/30/19,150,0.0297,6/21/19,172,0.2409,,,,,,U,7/10/19,N,F,slime
VCU,WIB,AL,20,5/3/19,123,5/29/19,149,0.0287,6/18/19,169,0.2770,7/12/19,193,0.6560,8/8/19,220,M,,L,A,
VCU,WIB,AL,21,5/3/19,123,6/3/19,154,0.0193,6/19/19,170,0.2642,8/8/19,220,1.5924,9/19/19,262,F,,L,A,
VCU,WIB,AL,22,5/3/19,123,6/3/19,154,0.0181,6/21/19,172,0.1578,8/19/19,231,1.8086,,,FP,9/30/19,N,P,did not emerge
VCU,WIB,AL,23,5/3/19,123,5/30/19,150,0.0258,6/16/19,167,0.2786,7/22/19,203,2.6238,8/15/19,227,F,,L,A,
VCU,WIB,AL,24,5/3/19,123,6/2/19,153,0.0281,6/19/19,170,0.2297,,,,,,U,7/15/19,N,F,slime
VCU,WIB,AL,25,5/3/19,123,6/4/19,155,0.0225,6/26/19,177,0.3023,7/26/19,207,0.5616,8/28/19,240,M,,L,A,
VCU,WIB,IR,1,5/3/19,123,5/30/19,150,0.0222,6/21/19,172,0.2851,,,,,,U,7/10/19,N,F,slime
VCU,WIB,IR,2,5/3/19,123,,,,,,,,,,,,U,6/5/19,N,L,death/natural
VCU,WIB,IR,3,5/3/19,123,5/28/19,148,0.0220,6/19/19,170,0.2515,7/13/19,194,0.5783,,,MP,9/30/19,N,P,did not emerge
VCU,WIB,IR,4,5/3/19,123,,,,,,,,,,,,U,6/5/19,N,L,death/natural
VCU,WIB,IR,5,5/3/19,123,5/28/19,148,0.0197,6/15/19,166,0.2379,7/29/19,210,1.7601,,,FP,9/30/19,N,P,did not emerge
VCU,WIB,IR,6,5/3/19,123,6/1/19,152,0.0156,6/20/19,171,0.2419,8/12/19,224,1.9387,9/16/19,259,F,,L,A,
VCU,WIB,IR,7,5/3/19,123,5/30/19,150,0.0220,6/16/19,167,0.2375,8/1/19,213,1.2223,8/30/19,242,F,,L,A,
VCU,WIB,IR,8,5/3/19,123,5/30/19,150,0.0326,6/22/19,173,0.2656,7/20/19,201,0.5808,,,M,8/15/19,L,A,does not appear to have fully developed
VCU,WIB,IR,9,5/3/19,123,5/30/19,150,0.0244,6/20/19,171,0.2298,7/16/19,197,0.5491,,,MP,,N,P,
VCU,WIB,IR,10,5/3/19,123,5/28/19,148,0.0275,6/16/19,167,0.2423,7/31/19,212,2.3063,8/29/19,241,F,,L,A,
VCU,WIB,IR,11,5/3/19,123,,,,,,,,,,,,U,6/5/19,N,L,death/natural
VCU,WIB,IR,12,5/3/19,123,6/2/19,153,0.0186,6/19/19,170,0.1485,7/27/19,208,0.6847,8/30/19,242,M,,L,A,
VCU,WIB,IR,13,5/3/19,123,5/28/19,148,0.0206,6/14/19,165,0.2170,8/1/19,213,1.9609,8/30/19,242,F,,L,A,
VCU,WIB,IR,14,5/3/19,123,6/3/19,154,0.0247,6/23/19,174,0.1960,7/20/19,201,0.5831,,,MP,9/30/19,N,P,did not emerge
VCU,WIB,IR,15,5/3/19,123,5/27/19,147,0.0258,6/16/19,167,0.2379,7/9/19,190,0.5918,8/3/19,215,M,,L,A,
VCU,WIB,IR,16,5/3/19,123,6/2/19,153,0.0293,6/23/19,174,0.2097,7/20/19,201,0.4966,,,MP,9/30/19,N,P,did not emerge
VCU,WIB,IR,17,5/3/19,123,6/1/19,152,0.0264,6/21/19,172,0.2736,7/17/19,198,0.5205,,,MP,9/30/19,N,P,did not emerge
VCU,WIB,IR,18,5/3/19,123,5/30/19,150,0.0307,6/20/19,171,0.3526,7/20/19,201,0.5220,,,MP,9/30/19,N,P,did not emerge
VCU,WIB,IR,19,5/3/19,123,5/29/19,149,0.0241,6/19/19,170,0.2556,,,,,,U,7/10/19,N,F,slime
VCU,WIB,IR,20,5/3/19,123,6/7/19,158,0.0392,6/24/19,175,0.2500,7/24/19,205,0.5770,,,MP,9/10/19,N,P,was not able to successfully emerge
VCU,WIB,IR,21,5/3/19,123,5/30/19,150,0.0220,6/17/19,168,0.3326,8/5/19,217,2.1356,9/4/19,247,F,,L,A,
VCU,WIB,IR,22,5/3/19,123,5/28/19,148,0.0202,6/17/19,168,0.2757,,,,,,U,7/10/19,N,F,slime
VCU,WIB,IR,23,5/3/19,123,5/30/19,150,0.0378,6/17/19,168,0.3240,,,,,,U,7/31/19,N,F,natural causes
VCU,WIB,IR,24,5/3/19,123,6/1/19,152,0.0254,6/21/19,172,0.2160,8/13/19,225,0.6384,9/12/19,255,F,,L,A,
VCU,WIB,IR,25,5/3/19,123,5/30/19,150,0.0299,6/18/19,169,0.2696,8/2/19,214,2.2964,9/3/19,246,F,,L,A,
VCU,WIB,MN,1,5/3/19,123,5/27/19,147,0.0123,6/21/19,172,0.1933,7/20/19,201,0.5816,,,MP,9/13/19,N,P,accidently pulled back off of pupa
VCU,WIB,MN,2,5/3/19,123,5/31/19,151,0.0222,6/16/19,167,0.2053,8/1/19,213,1.6087,8/30/19,242,F,,L,A,
VCU,WIB,MN,3,5/3/19,123,5/27/19,147,0.0145,6/19/19,170,0.2000,7/20/19,201,0.4834,8/15/19,227,M,,L,A,
VCU,WIB,MN,4,5/3/19,123,5/30/19,150,0.0203,6/17/19,168,0.2360,,,,,,U,7/31/19,N,F,natural causes
VCU,WIB,MN,5,5/3/19,123,6/6/19,157,0.0223,6/27/19,178,0.2511,7/27/19,208,0.5516,8/30/19,242,M,,L,A,
VCU,WIB,MN,6,5/3/19,123,6/19/19,170,0.0373,6/27/19,178,0.1409,,,,,,U,8/14/19,N,F,natural causes
VCU,WIB,MN,7,5/3/19,123,6/1/19,152,0.0195,6/22/19,173,0.1734,7/20/19,201,,,,U,9/30/19,N,P,"deformed pupa, mold still attached; did not emerge"
VCU,WIB,MN,8,5/3/19,123,6/4/19,155,0.0197,6/27/19,178,0.1495,7/16/19,197,0.4120,8/28/19,240,M,,L,A,
VCU,WIB,MN,9,5/3/19,123,5/29/19,149,0.0220,6/14/19,165,0.1927,,,,,,U,7/17/19,N,F,natural causes
VCU,WIB,MN,10,5/3/19,123,5/31/19,151,0.0224,6/30/19,181,0.1379,8/16/19,228,0.4006,9/19/19,262,F,,L,A,
VCU,WIB,MN,11,5/3/19,123,6/3/19,154,0.0140,6/23/19,174,0.1870,,,,,,U,7/3/19,N,F,no death notes
VCU,WIB,MN,12,5/3/19,123,6/6/19,157,0.0143,,,,,,,,,U,6/13/19,N,F,death/natural
VCU,WIB,MN,13,5/3/19,123,,,,,,,,,,,,U,5/29/19,N,F,death/natural
VCU,WIB,MN,14,5/3/19,123,5/30/19,150,0.0235,6/15/19,166,0.1964,,,,,,U,7/24/19,N,F,very moldy
VCU,WIB,MN,15,5/3/19,123,5/30/19,150,0.0183,6/16/19,167,0.1982,,,,,,U,,N,F,
VCU,WIB,MN,16,5/3/19,123,5/30/19,150,0.0186,6/15/19,166,0.2255,7/31/19,212,2.2252,,,F,9/18/19,L,A,was not able to successfully emerge
VCU,WIB,MN,17,5/3/19,123,6/6/19,157,0.0216,6/21/19,172,0.2140,8/19/19,231,1.8862,,,FP,9/30/19,N,P,did not emerge
VCU,WIB,MN,18,5/3/19,123,,,,,,,,,,,,U,6/3/19,N,F,death/natural
VCU,WIB,MN,19,5/3/19,123,5/30/19,150,0.0235,6/15/19,166,0.2141,8/1/19,213,1.4570,,,FP,9/30/19,N,P,did not emerge
VCU,WIB,MN,20,5/3/19,123,5/27/19,147,0.0170,6/18/19,169,0.2396,8/19/19,231,1.2806,,,FP,9/10/19,N,P,
VCU,WIB,MN,21,5/3/19,123,5/31/19,151,0.0223,6/21/19,172,0.2055,8/3/19,215,1.4312,9/3/19,246,F,,L,A,
VCU,WIB,MN,22,5/3/19,123,6/3/19,154,0.0181,6/22/19,173,0.1731,,,,,,U,7/31/19,N,F,natural causes
VCU,WIB,MN,23,5/3/19,123,,,,,,,,,,,,U,5/8/19,N,L,dead/natural causes
VCU,WIB,MN,24,5/3/19,123,5/29/19,149,0.0202,6/15/19,166,0.1888,7/31/19,212,2.1599,8/28/19,240,F,,L,A,
VCU,WIB,MN,25,5/3/19,123,5/31/19,151,0.0140,6/18/19,169,0.0928,8/6/19,218,0.3735,9/19/19,262,M,,L,A,
VCU,WIB,NC1,1,5/3/19,123,,,,,,,,,,,,U,6/5/19,N,L,death/natural
VCU,WIB,NC1,2,5/3/19,123,,,,,,,,,,,,U,5/29/19,N,L,natural causes
VCU,WIB,NC1,3,5/3/19,123,5/30/19,150,0.0276,6/17/19,168,0.1928,7/16/19,197,0.5172,,,MP,9/30/19,N,P,did not emerge
VCU,WIB,NC1,4,5/3/19,123,5/28/19,148,0.0202,6/16/19,167,0.2320,,,,,,U,,N,F,
VCU,WIB,NC1,5,5/3/19,123,,,,,,,,,,,,U,6/3/19,N,L,natural causes
VCU,WIB,NC1,6,5/3/19,123,,,,,,,,,,,,U,5/23/19,N,L,dead/ natural causes
VCU,WIB,NC1,7,5/3/19,123,5/29/19,149,0.0233,6/15/19,166,0.2795,7/23/19,204,3.0650,8/19/19,231,F,,L,A,
VCU,WIB,NC1,8,5/3/19,123,5/27/19,147,0.0333,6/13/19,164,0.2461,,,,,,U,7/23/19,N,F,moldy
VCU,WIB,NC1,9,5/3/19,123,5/30/19,150,0.0189,6/19/19,170,0.2322,,,,,,U,N/A,N,F,death date not recorded
VCU,WIB,NC1,10,5/3/19,123,,,,,,,,,,,,U,5/29/19,N,L,natural causes
VCU,WIB,NC1,11,5/3/19,123,,,,,,,,,,,,U,5/29/19,N,L,natural causes
VCU,WIB,NC1,12,5/3/19,123,5/29/19,149,0.0247,6/16/19,167,0.2752,,,,,,U,8/19/19,N,F,very moldy
VCU,WIB,NC1,13,5/3/19,123,5/31/19,151,0.0288,6/16/19,167,0.2954,7/29/19,210,2.4698,8/28/19,240,F,,L,A,
VCU,WIB,NC1,14,5/3/19,123,5/30/19,150,0.0230,6/19/19,170,0.2106,7/20/19,201,0.5886,,,MP,9/30/19,N,P,did not emerge
VCU,WIB,NC1,15,5/3/19,123,5/29/19,149,0.0247,6/19/19,170,0.1481,,,,,,U,7/3/19,N,F,dead/natural
